population,gene_list
Ara-1A,topA
Ara-1A,spoT
Ara-1B,topA
Ara-1B,pykF
Ara-1B,yijO
Ara-1B,yijC
Ara-2A,mrdA
Ara-2A,pykF
Ara-2A,ECB_01992
Ara-2A,spoT
Ara-2B,mrdA
Ara-2B,pykF
Ara-2B,ECB_01992
Ara-2B,spoT
Ara-3A,yabB
Ara-3A,pykF
Ara-3A,yijC
Ara-3B,mrdB
Ara-3B,ldrC
Ara-3B,pykF
Ara-3B,ECB_01992
Ara-3B,ytfN
Ara-4A,pykF
Ara-4A,spoT
Ara-4B,pykF
Ara-4B,mreD
Ara-4B,spoT
Ara-5A,ybeB
Ara-5A,topA
Ara-5A,atoC
Ara-5A,yfaQ
Ara-5B,ybeB
Ara-5B,topA
Ara-5B,yfaQ
Ara-6A,pykF
Ara-6A,mreC
Ara-6A,nadR
Ara-6B,pykF
Ara-6B,mreC
Ara-6B,nadR
Ara+1A,topA
Ara+1A,yijC
Ara+1A,nadR
Ara+1B,sapB
Ara+2A,pykF
Ara+2A,wcaM
Ara+2A,infB
Ara+2A,spoT
Ara+2B,pykF
Ara+2B,wcaM
Ara+2B,mreB
Ara+2B,spoT
Ara+3A,ybaL
Ara+3A,pykF
Ara+3A,mreC
Ara+3B,ybaL
Ara+3B,pykF
Ara+3B,mreC
Ara+4A,pykF
Ara+4A,spoT
Ara+4B,pykF
Ara+4B,spoT
Ara+5A,pykF
Ara+5A,yijC
Ara+5A,nadR
Ara+5B,mreB
Ara+5B,trkH
Ara+6A,mrdA
Ara+6A,pykF
Ara+6A,spoT
Ara+6B,mrdA
Ara+6B,pykF
Ara+6B,spoT
